Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Mother Of Pearl Metal Round Long Necklace,JEWELRY;NECKLACE/FASHION,images/20190314/LN4038-WSV-32_3L-06L-431105-450-01.jpg,images/20190314/des_img/LN4038-WSV-32_3L-06L-431105-450-01-1.jpg,"Style No : 431105 Color : Mother of Pearl, Worn Silver  Necklace Size : 32"" + 3"" L  Decor Size : 0.6"" L Lead and Nickel Compliant Mother Of Pearl Metal Round Long Necklace",4.50
Mother Of Pearl Metal Round Long Necklace,JEWELRY;NECKLACE/FASHION,images/20190314/LN4038-WGD-32_3L-06L-431104-450-01.jpg,images/20190314/des_img/LN4038-WGD-32_3L-06L-431104-450-01-1.jpg,"Style No : 431104 Color : Mother of Pearl, Worn Gold  Necklace Size : 32"" + 3"" L  Decor Size : 0.6"" L Lead and Nickel Compliant Mother Of Pearl Metal Round Long Necklace",4.50
Glass Crystal Round Rhinestone Pave Y Necklace,JEWELRY;NECKLACE/RHINESTONE,images/20190313/RN155-G-AB-14_3L-15L-14L-430946-225-02.jpg,,"Style No : 430946 Color : AB, Gold  Necklace Size : 14"" + 3"" L  Decor Size : 1.5"" L Earring Size : 1.4"" L Glass Crystal Round Rhinestone Pave Y Necklace",2.25
Glass Crystal Round Rhinestone Pave Y Necklace,JEWELRY;NECKLACE/RHINESTONE,images/20190313/RN155-BK-14_3L-15L-14L-430950-225-02.jpg,,"Style No : 430950 Color : Black, Silver  Necklace Size : 14"" + 3"" L  Decor Size : 1.5"" L Earring Size : 1.4"" L Glass Crystal Round Rhinestone Pave Y Necklace",2.25
Glass Crystal Round Rhinestone Pave Y Necklace,JEWELRY;NECKLACE/RHINESTONE,images/20190313/RN155-R-14_3L-15L-14L-430952-225-02.jpg,,"Style No : 430952 Color : Red, Silver  Necklace Size : 14"" + 3"" L  Decor Size : 1.5"" L Earring Size : 1.4"" L Glass Crystal Round Rhinestone Pave Y Necklace",2.25
Embossed Metal Owl Natural Stone Round Necklace,JEWELRY;NECKLACE/FASHION,images/20190312/FN3399-AB-16_3L-375L-2L-430846-600-02.jpg,images/20190312/des_img/FN3399-AB-16_3L-375L-2L-430846-600-02-1.jpg,"Style No : 430846 Color : Abalone, Silver Theme : Animal, Owl  Necklace Size : 16"" + 3"" L  Decor Size : 3.75"" L  Earring Size : 2"" L Lead and Nickel Compliant Embossed Metal Owl Natural Stone Round Necklace",6.00
Embossed Metal Owl Natural Stone Round Necklace,JEWELRY;NECKLACE/FASHION,images/20190312/FN3399-BK-16_3L-375L-2L-430847-600-02.jpg,images/20190312/des_img/FN3399-BK-16_3L-375L-2L-430847-600-02-1.jpg,"Style No : 430847 Color : Black, Silver Theme : Animal, Owl  Necklace Size : 16"" + 3"" L  Decor Size : 3.75"" L  Earring Size : 2"" L Lead and Nickel Compliant Embossed Metal Owl Natural Stone Round Necklace",6.00
Embossed Metal Owl Natural Stone Round Necklace,JEWELRY;NECKLACE/FASHION,images/20190312/FN3399-RD-16_3L-375L-2L-430848-600-02.jpg,images/20190312/des_img/FN3399-RD-16_3L-375L-2L-430848-600-02-1.jpg,"Style No : 430848 Color : Red, Silver Theme : Animal, Owl  Necklace Size : 16"" + 3"" L  Decor Size : 3.75"" L  Earring Size : 2"" L Lead and Nickel Compliant Embossed Metal Owl Natural Stone Round Necklace",6.00
Embossed Metal Owl Natural Stone Round Necklace,JEWELRY;NECKLACE/FASHION,images/20190312/FN3399-TQ-16_3L-375L-2L-430849-600-02.jpg,images/20190312/des_img/FN3399-TQ-16_3L-375L-2L-430849-600-02-1.jpg,"Style No : 430849 Color : Silver, Turquoise Theme : Animal, Owl  Necklace Size : 16"" + 3"" L  Decor Size : 3.75"" L  Earring Size : 2"" L Lead and Nickel Compliant Embossed Metal Owl Natural Stone Round Necklace",6.00
Crystal Teardrop Rhinestone Pave Statement Evening Necklace,JEWELRY;NECKLACE/EVENING,images/20180306/RN10814-S-13_4L-15L-175L-382096-475-02.jpg,,"Style No : 382096 Color : Clear, Silver  Necklace Size : 13"" + 5"" L Decor Size : 1.5"" L Earring Size : 1.7"" L Crystal Teardrop Rhinestone Pave Statement Evening Necklace",4.75
