Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Multi Layered Strand Bead With Charms Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20170512/MLB3068-GD-10LAEYRS-2H-STR-344492-450--02.jpg,images/20170512/des_img/MLB3068-GD-10LAEYRS-2H-STR-344492-450-02-1.jpg,"Style No : 344492 Color : Gold  Size : 2""H Stretchable 10 Layer Multi Layered Strand Bead with Charms Stretch Bracelet",5.25
Multi Layered Strand Bead With Charms Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20170512/MLB3066-MT-10LAYERS-2H-STR-344493-450--02.jpg,images/20170512/des_img/MLB3066-MT-10LAYERS-2H-STR-344493-450-02-1.jpg,"Style No : 344493 Color : Multi Theme : Flower & Leaf  Size : 2""H Stretchable 10 Layer Multi Layered Strand Bead with Charms Stretch Bracelet",4.50
Multi Layered Strand Bead With Charms Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20170512/MLB3034-MT-7LAYERS-15H-STR-344509-375--02.jpg,images/20170512/des_img/MLB3034-MT-7LAYERS-15H-STR-344509-375-02-1.jpg,"Style No : 344509 Color : Multi Theme : Flower & Leaf  Size : 1.5""H Stretchable 7 Layer Multi Layered Strand Bead with Charms Stretch Bracelet",3.75
Rhinestone Trim Oval Resin Bead Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20170726/SB8025-R-RED-STR-175H-66794-300-03.jpg,,"Style No : 66794 Color : Rhodium, Red  Size : 1.75"" H Stretchable Rhinestone Trim Oval Resin Bead Stretch Bracelet",3.00
"Think Less, Live More Thin Metal Hook Bracelet",JEWELRY;BRACELET/METAL,images/20170725/MSB4291-RH-THINK-3mm-60X45mmD-353548-300-01-.jpg,images/20170725/des_img/MSB4291-RH-THINK-3mm-60X45mmD-353548-300-01-1.jpg,"Style No : 353548 Color : Rhodium Theme : Message  Size : 3mm, 2.3"" D Think Less, Live More Thin Metal Hook Bracelet",3.50
"Think Less, Live More Thin Metal Hook Bracelet",JEWELRY;BRACELET/METAL,images/20170725/MSB4291-GD-THINK-3mm-60X45mmD-353546-300-01-.jpg,images/20170725/des_img/MSB4291-GD-THINK-3mm-60X45mmD-353546-300-01-1.jpg,"Style No : 353546 Color : Gold Theme : Message  Size : 3mm, 2.3"" D Think Less, Live More Thin Metal Hook Bracelet",3.50
The Best Is Yet To Come Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4290-RG-BEST-3mm-60X45mmD-353544-300-01-.jpg,images/20170725/des_img/MSB4290-RG-BEST-3mm-60X45mmD-353544-300-01-1.jpg,"Style No : 353544 Color : Rose Gold  Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) The Best is Yet to Come Thin Metal Hook Bracelet",3.50
The Best Is Yet To Come Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4290-GD-BEST-3mm-60X45mmD-353543-300-01-.jpg,images/20170725/des_img/MSB4290-GD-BEST-3mm-60X45mmD-353543-300-01-1.jpg,"Style No : 353543 Color : Gold Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) The Best is Yet to Come Thin Metal Hook Bracelet",3.50
Dance Love Sing Live Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4286-RG-DANCE-3mm-60X45mmD-353541-300-01-.jpg,images/20170725/des_img/MSB4286-RG-DANCE-3mm-60X45mmD-353541-300-01-1.jpg,"Style No : 353541 Color : Rose Gold  Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) Dance Love Sing Live Thin Metal Hook Bracelet",3.50
Freedom Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4256-RH-FREEDOM-3mm-60X45mmD-353539-300-01-.jpg,images/20170725/des_img/MSB4256-RH-FREEDOM-3mm-60X45mmD-353539-300-01-1.jpg,"Style No : 353539 Color : Rhodium Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) Freedom Thin Metal Hook Bracelet",3.50
